"","state","date","tweets","hoax","fips","cases","deaths","rank","pop","growth","Pop2018","Pop2010","growthSince2010","Percent","density","one","stweets","hoaxsh","nn","cumtweets","cumhoax","casesPC","deathsPC","datex","tweetsPC","L1hoaxsh","L2hoaxsh","L1cases","hoaxshXdensity","Dcases","DcasesPC","mtweetsPC","mhoaxsh","mdensity","tweetsPCXdensity"
"1175","Utah",2020-04-08,174,0,49,1875,13,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,174,0.615700359158543,17,1949,12,0.571277971673753,0.00396086060360469,2020-04-08,5.93824408955811,0.615700359158543,0.615700359158543,1875,-100.94893668548,0,0,8.92603999953742,0.625334615867889,203.900898,-973.622018734871
"1176","Utah",2020-04-09,158,0,49,1980,13,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,158,0.56953013763645,18,2107,12,0.603269538087483,0.00396086060360469,2020-04-09,6.41964099368852,0.56953013763645,0.56953013763645,1980,-93.378964214523,0,0,9.74177004803146,0.612908396991543,203.900898,-1052.5508432398
"1177","Utah",2020-04-10,156,0,49,2103,17,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,156,0.530269553689792,19,2263,12,0.640745373029281,0.00517958694317536,2020-04-10,6.89494426612108,0.530269553689792,0.530269553689792,2103,-86.9418813963765,0,0,10.4952453970308,0.59765961993393,203.900898,-1130.48056870037
"1178","Utah",2020-04-11,142,1,49,2206,18,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,142,0.540540540540541,20,2405,13,0.672127576273226,0.00548426852806803,2020-04-11,7.32759211666867,0.540540540540541,0.540540540540541,2206,-88.6258908108108,0,0,11.1443604063636,0.581867594538441,203.900898,-1201.41660085037
"1179","Utah",2020-04-12,75,2,49,2303,18,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,75,0.604838709677419,21,2480,15,0.701681690007815,0.00548426852806803,2020-04-12,7.55610330533817,0.604838709677419,0.604838709677419,2303,-99.1680834677419,0,0,11.54559801074,0.607968091535388,203.900898,-1238.8828150141
"1180","Utah",2020-04-13,87,0,49,2363,18,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,87,0.584339696143358,22,2567,15,0.719962585101375,0.00548426852806803,2020-04-13,7.82117628419479,0.584339696143358,0.584339696143358,2363,-95.8071082976237,0,0,12.0119100675759,0.620354912778148,203.900898,-1282.34362344403
"1181","Utah",2020-04-14,189,2,49,2418,19,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,189,0.616835994194485,23,2756,17,0.736720072270472,0.0057889501129607,2020-04-14,8.39702447964194,0.616835994194485,0.616835994194485,2418,-101.135133018868,0,0,12.7523633551451,0.616187503213386,203.900898,-1376.75848313664
"1182","Utah",2020-04-15,167,0,49,2549,20,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,167,0.581594252480328,24,2923,17,0.776633359891411,0.00609363169785337,2020-04-15,8.90584272641269,0.581594252480328,0.581594252480328,2549,-95.3569711255559,0,0,13.5420479245739,0.601860307502986,203.900898,-1460.18325334121
"1183","Utah",2020-04-16,143,0,49,2683,21,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,143,0.554468362687541,25,3066,17,0.817460692267029,0.00639831328274603,2020-04-16,9.34153739280921,0.554468362687541,0.554468362687541,2683,-90.9094672537508,0,0,14.2983576430326,0.604035564026203,203.900898,-1531.6188350134
"1184","Utah",2020-04-17,160,0,49,2813,23,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,160,0.526968381897086,26,3226,17,0.857069298303076,0.00700767645253137,2020-04-17,9.82902792863748,0.526968381897086,0.526968381897086,2813,-86.4006282083075,0,0,15.0407423000614,0.591929704529066,203.900898,-1611.5467585627
"1185","Utah",2020-04-18,155,0,49,2942,25,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,1,155,0.502809819580006,27,3381,17,0.89637322275423,0.00761703962231671,2020-04-18,10.3012843852211,0.502809819580006,0.502809819580006,2942,-82.439641112097,0,0,15.721784947525,0.583609511688196,203.900898,-1688.97693450108
"1186","Vermont",2020-03-23,19,0,50,75,2,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,19,0,1,19,0,0.119415152349851,0.0031844040626627,2020-03-23,0.302518385952957,0,0,75,0,0,0,0.446601736382587,0.35588698452728,203.900898,-41.0696837090665
"1187","Vermont",2020-03-24,16,0,50,95,7,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,16,0,2,35,0,0.151259192976478,0.0111454142193195,2020-03-24,0.557270710965973,0,0,95,0,0,0,0.854902606082873,0.284735044828347,203.900898,-75.6546805167014
"1188","Vermont",2020-03-25,40,0,50,123,8,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,40,0,3,75,0,0.195840849853756,0.0127376162506508,2020-03-25,1.19415152349851,0,0,123,0,0,0,1.4136488181593,0.537442017526092,203.900898,-162.117172535789
"1189","Vermont",2020-03-26,46,0,50,158,9,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,46,0,4,121,0,0.251567920950354,0.0143298182819822,2020-03-26,1.92656445791094,0,0,158,0,0,0,2.22875206262975,0.48334322789808,203.900898,-261.549038357739
"1190","Vermont",2020-03-27,12,0,50,184,10,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,12,0,5,133,0,0.292965173764969,0.0159220203133135,2020-03-27,2.1176287016707,0,0,184,0,0,0,2.44813175000002,0.488528420356186,203.900898,-287.487785963465
"1191","Vermont",2020-03-28,1,0,50,211,12,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,1,0,6,134,0,0.335954628610915,0.0191064243759762,2020-03-28,2.13355072198401,0,0,211,0,0,0,2.52225190802726,0.512163315957607,219.496491304348,-322.923337618203
"1192","Vermont",2020-03-29,13,0,50,235,12,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,13,0,7,147,0,0.374167477362868,0.0191064243759762,2020-03-29,2.34053698605709,0,0,235,0,0,0,2.62859524428146,0.623893440155147,203.900898,-317.749658170146
"1193","Vermont",2020-03-30,25,0,50,256,12,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,25,0,8,172,0,0.407603720020826,0.0191064243759762,2020-03-30,2.73858749388992,0,0,256,0,0,0,2.88751126732879,0.854384883343553,203.900898,-371.788715682075
"1194","Vermont",2020-03-31,12,0,50,293,13,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,12,0,9,184,0,0.466515195180086,0.0206986264073076,2020-03-31,2.92965173764969,0,0,293,0,0,0,3.27416992018024,0.92162012762619,203.900898,-397.727463287802
"1195","Vermont",2020-04-01,21,0,50,321,16,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,21,0,10,205,0,0.511096852057364,0.0254752325013016,2020-04-01,3.26401416422927,0,0,321,0,0,0,3.86628231992541,0.880775936615251,203.900898,-443.120271597822
"1196","Vermont",2020-04-02,21,0,50,338,17,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,21,0,11,226,0,0.538164286589997,0.027067434532633,2020-04-02,3.59837659080885,0,0,338,0,0,0,4.3936614613976,0.81645045850813,203.900898,-488.513079907843
"1197","Vermont",2020-04-03,30,0,50,389,17,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,30,0,12,256,0,0.619366590187896,0.027067434532633,2020-04-03,4.07603720020826,0,0,389,0,0,0,5.02172125762318,0.781583092253111,203.900898,-553.359948922159
"1198","Vermont",2020-04-04,39,0,50,461,20,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,39,0,13,295,0,0.734005136443753,0.031844040626627,2020-04-04,4.69699599242749,0,0,461,0,0,0,5.77566226206666,0.738983400021089,203.900898,-637.660878640769
"1199","Vermont",2020-04-05,39,0,50,512,22,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,39,0,14,334,0,0.815207440041652,0.0350284446892897,2020-04-05,5.31795478464672,0,0,512,0,0,0,6.50918760998209,0.690244208414145,203.900898,-721.961808359379
"1200","Vermont",2020-04-06,42,0,50,543,23,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,42,0,15,376,0,0.864565703012924,0.0366206467206211,2020-04-06,5.98667963780588,0,0,543,0,0,0,7.29426477567296,0.66483533873214,203.900898,-812.747424979421
"1201","Vermont",2020-04-07,40,0,50,575,23,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,40,0,16,416,0,0.915516168015527,0.0366206467206211,2020-04-07,6.62356045033842,0,0,575,0,0,0,8.10203425579575,0.627086821395745,203.900898,-899.209916998508
"1202","Vermont",2020-04-08,44,0,50,605,23,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,44,0,17,460,0,0.963282228955468,0.0366206467206211,2020-04-08,7.32412934412422,0,0,605,0,0,0,8.92603999953742,0.625334615867889,203.900898,-994.318658219504
"1203","Vermont",2020-04-09,44,0,50,628,23,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,44,0,18,504,0,0.999902875676089,0.0366206467206211,2020-04-09,8.02469823791001,0,0,628,0,0,0,9.74177004803146,0.612908396991543,203.900898,-1089.4273994405
"1204","Vermont",2020-04-10,40,0,50,679,24,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,40,0,19,544,0,1.08110517927399,0.0382128487519524,2020-04-10,8.66157905044255,0,0,679,0,0,0,10.4952453970308,0.59765961993393,203.900898,-1175.88989145959
"1205","Vermont",2020-04-11,29,0,50,711,25,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,29,0,20,573,0,1.13205564427659,0.0398050507832838,2020-04-11,9.12331763952865,0,0,711,0,0,0,11.1443604063636,0.581867594538441,203.900898,-1238.57519817343
"1206","Vermont",2020-04-12,18,0,50,727,27,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,18,0,21,591,0,1.15753087677789,0.0429894548459465,2020-04-12,9.40991400516829,0,0,727,0,0,0,11.54559801074,0.607968091535388,203.900898,-1277.48331958202
"1207","Vermont",2020-04-13,26,0,50,748,28,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,26,0,22,617,0,1.19096711943585,0.0445816568772778,2020-04-13,9.82388653331444,0,0,748,0,0,0,12.0119100675759,0.620354912778148,203.900898,-1333.68393939442
"1208","Vermont",2020-04-14,34,0,50,752,29,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,34,0,23,651,0,1.19733592756118,0.0461738589086092,2020-04-14,10.3652352239671,0,0,752,0,0,0,12.7523633551451,0.616187503213386,203.900898,-1407.17705761065
"1209","Vermont",2020-04-15,36,0,50,759,30,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,36,0,24,687,0,1.2084813417805,0.0477660609399405,2020-04-15,10.9384279552464,0,0,759,0,0,0,13.5420479245739,0.601860307502986,203.900898,-1484.99330042782
"1210","Vermont",2020-04-16,42,0,50,768,35,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,42,0,25,729,0,1.22281116006248,0.0557270710965973,2020-04-16,11.6071528084056,0,0,768,0,0,0,14.2983576430326,0.604035564026203,203.900898,-1575.77891704787
"1211","Vermont",2020-04-17,51,0,50,779,35,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,51,0,26,780,0,1.24032538240712,0.0557270710965973,2020-04-17,12.4191758443845,0,0,779,0,0,0,15.0407423000614,0.591929704529066,203.900898,-1686.0185943722
