"","state","tweets","hoax","date","fips","cases","deaths","rank","pop","growth","Pop2018","Pop2010","growthSince2010","Percent","density","iusers","users","tweetsPC","iusersh","hoaxsh","deathOcases","casesPC","deathsPC","MM","hoaxshXdensity","tweetsPCXdensity","saved"
"26","Montana",1272,4,"2020-04-18",30,426,10,44,1086.759,0.023,1062305,990722,0.0969,0.0033,7.4668,4,548,1.17045269466367,0.0072992700729927,0.314465408805031,0.0234741784037559,0.391991232646797,0.00920167212785908,-0.391982030974669,-62.6429861378514,-233.159673127311,67.2011739232871
"27","Nebraska",2936,24,"2020-04-18",31,1348,28,38,1952.57,0.0121,1929268,1829536,0.0672,0.0058,25.4161,9,1415,1.50365927982095,0.00636042402826855,0.817438692098093,0.0207715133531157,0.690372176157577,0.0143400748756767,-0.690357836082701,-148.165173775232,-272.546358090274,362.123512387204
"28","Nevada",10186,118,"2020-04-18",32,3626,155,32,3139.658,0.0347,3034392,2702464,0.1618,0.0094,28.5993,55,4589,3.24430240491162,0.0119851819568533,1.15845277832319,0.0427468284611142,1.15490285884641,0.0493684343963578,-1.15485349041201,-206.288230103744,-577.720053465852,844.698598517068
"29","New Hampshire",1555,14,"2020-04-18",33,1342,38,42,1371.246,0.0109,1356458,1316777,0.0414,0.0041,153.1605,10,675,1.13400513109974,0.0148148148148148,0.90032154340836,0.0283159463487332,0.978671952370326,0.0277120224963282,-0.97864424034783,-48.1771024345429,-60.681743941686,545.79376753269
"30","New Jersey",10379,71,"2020-04-18",34,81420,4070,11,8936.574,0.0031,8908520,8799624,0.0156,0.0267,1215.1991,29,5178,1.16140704480263,0.0056006179992275,0.684073610174391,0.0499877180054041,9.11087403293477,0.455431801941102,-9.11041860113283,689.907119084651,1171.31106425832,13640.8544787703
"31","New Mexico",3120,13,"2020-04-18",35,1798,53,37,2096.64,6e-04,2095428,2064588,0.0155,0.0063,17.285,7,1508,1.48809523809524,0.00464190981432361,0.416666666666667,0.0294771968854283,0.857562576312576,0.0252785409035409,-0.857537297771673,-78.9110399659864,-281.825142735666,186.234542149657
"32","New York",62687,1314,"2020-04-18",36,236763,13362,4,19440.469,-0.0052,19542209,19400080,0.0021,0.0581,412.5211,161,29669,3.22456212347552,0.00542653948565843,2.09612838387544,0.0564361830184615,12.1788728450944,0.68732909684432,-12.1781855159976,431.487197925033,663.774836454064,35821.0064799553
"33","North Carolina",16930,62,"2020-04-18",37,6140,175,9,10611.862,0.022,10383620,9574293,0.1084,0.0317,218.2702,49,8523,1.59538448577639,0.0057491493605538,0.366213821618429,0.0285016286644951,0.578597799330598,0.0164909796226148,-0.578581308350976,4.24760574755595,18.504392546948,2144.36288977313
"34","North Dakota",629,11,"2020-04-18",38,528,9,48,761.723,0.0022,760077,674710,0.129,0.0023,11.0393,5,380,0.825759495249585,0.0131578947368421,1.74880763116057,0.0170454545454545,0.693165363261973,0.0118153186919655,-0.693153547943281,-342.123077122741,-161.545143356119,269.962416745385
"35","Ohio",15665,84,"2020-04-18",39,10222,451,7,11747.694,0.005,11689442,11539327,0.0181,0.0351,287.5038,58,8438,1.33345318664242,0.00687366674567433,0.536227258218959,0.0441205243592252,0.870128214098869,0.0383905130657983,-0.870089823585803,43.3444847932151,107.786093461302,4210.71780762175
"36","Oklahoma",4847,31,"2020-04-18",40,2570,139,28,3954.821,0.003,3943079,3759632,0.0519,0.0118,57.6547,26,2434,1.22559276386972,0.0106820049301561,0.639570868578502,0.0540856031128405,0.649839777830653,0.0351469763106851,-0.649804630854342,-95.3068015982956,-182.633906772602,711.245941954003
"37","Oregon",9441,59,"2020-04-18",41,1844,72,27,4301.089,0.0263,4190713,3837532,0.1208,0.0129,44.8086,29,4276,2.19502549238112,0.00678203928905519,0.624933799385658,0.0390455531453362,0.428728631283845,0.0167399465577206,-0.428711891337287,-101.153594525831,-355.293182811448,697.64491991187
"38","Pennsylvania",23084,124,"2020-04-18",42,31742,1150,5,12820.878,0.0011,12807060,12711158,0.0086,0.0383,286.5449,52,11382,1.80050071453765,0.00456861711474258,0.537168601628834,0.0362296011593472,2.47580547915673,0.089697445057975,-2.47571578171167,42.9054847778654,143.812121121534,4592.31969919015
"39","Rhode Island",1971,9,"2020-04-18",44,4491,137,45,1056.161,-0.0011,1057315,1053938,0.0021,0.0032,1021.4323,8,964,1.86619274902217,0.00829875518672199,0.45662100456621,0.0305054553551548,4.25219261078567,0.129715071849841,-4.25206289571382,372.036896840928,1520.50070476461,918.669077174578
"40","South Carolina",7064,21,"2020-04-18",45,4246,119,23,5210.095,0.0248,5084127,4635656,0.1239,0.0156,173.3174,18,3491,1.3558294042623,0.00515611572615297,0.297281993204983,0.0280263777673104,0.814956349164459,0.0228402745055512,-0.814933508889953,-9.91557211616244,-45.2224639987077,737.344554084752
"41","South Dakota",920,3,"2020-04-18",46,1542,7,47,903.027,0.0236,882235,816165,0.1064,0.0027,11.9116,2,413,1.01879567277612,0.00484261501210654,0.326086956521739,0.00453955901426719,1.70759013850084,0.00775170620590525,-1.70758238679464,-63.5086617125111,-198.42053919196,60.1085602625338
"42","Tennessee",13226,91,"2020-04-18",47,6637,152,16,6897.576,0.0188,6770010,6355301,0.0853,0.0206,167.2748,56,6317,1.91748521509585,0.00886496754788666,0.68803871162861,0.0229019135151424,0.962222090775078,0.0220367271052903,-0.962200054047973,-27.1064519020976,-75.5425819470966,2210.94367728349
"43","Texas",62408,254,"2020-04-18",48,18927,487,2,29472.295,0.0268,28701845,25242679,0.1676,0.0881,112.8204,191,35023,2.11751409247227,0.00545355908974103,0.406999102679144,0.0257304379986263,0.642196340665021,0.016523993126426,-0.642179816671895,-38.1973118242298,-198.73101820111,4487.79353066165
"44","Utah",3445,17,"2020-04-18",49,2942,25,30,3282.115,0.0383,3161105,2775334,0.1826,0.0098,39.943,12,1825,1.04962805995524,0.00657534246575343,0.493468795355588,0.00849762066621346,0.89637322275423,0.00761703962231671,-0.896365605714608,-82.2753100322858,-175.002907710051,407.097200759557
"45","Virginia",12709,33,"2020-04-18",51,8053,258,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,29,6263,1.47330106963582,0.00463036883282772,0.259658509717523,0.032037749906867,0.933550516466855,0.0299088579719916,-0.933520607608883,3.05587012899424,17.3389916418038,1236.5733651072
"46","Washington",19099,107,"2020-04-18",53,11802,629,13,7797.095,0.0347,7535591,6742902,0.1563,0.0233,117.3272,41,8555,2.4495020260751,0.00479251899473992,0.560238755955809,0.0532960515166921,1.51364065719348,0.0806710704435434,-1.51355998612304,-50.0541371970538,-218.849033870294,1667.46570128725
"47","West Virginia",1922,6,"2020-04-18",54,825,18,40,1778.07,-0.0154,1805832,1854214,-0.0411,0.0053,73.9691,6,997,1.08094731928439,0.00601805416248746,0.312174817898023,0.0218181818181818,0.463986232263072,0.0101233359766488,-0.463976108927095,-41.4263462804477,-143.444299130575,171.337670624584
"48","Wisconsin",6279,28,"2020-04-18",55,4199,212,20,5851.754,0.0066,5813568,5690479,0.0283,0.0175,108.0497,22,3213,1.07301161327014,0.00684718331777155,0.445930880713489,0.0504882114789236,0.717562631648562,0.0362284538960455,-0.717526403194666,-43.9785043114236,-105.822332341966,955.317172149725
"49","Wyoming",550,3,"2020-04-18",56,309,2,52,567.025,-0.0185,577737,564483,0.0045,0.0017,5.84,3,252,0.969974868832944,0.0119047619047619,0.545454545454546,0.00647249190938511,0.544949517217054,0.0035271813412107,-0.544945990035713,-109.544452319109,-194.801503910942,59.9702420084029
